file,target,trans_src_count
src/llm/servable.cpp,//src/llm:genai_servables,49
src/llm/servable_initializer.cpp,//src/llm:genai_servables,49
src/llm/visual_language_model/continuous_batching/servable.cpp,//src/llm:genai_servables,49
src/llm/visual_language_model/legacy/legacy_executor.cpp,//src/llm:genai_servables,49
src/llm/visual_language_model/legacy/servable.cpp,//src/llm:genai_servables,49
src/llm/visual_language_model/legacy/servable_initializer.cpp,//src/llm:genai_servables,49
src/logging.cpp,//src:libovmslogging,1
src/main.cpp,//src:ovms,243
src/main_benchmark.cpp,//src:capi_benchmark,235
src/main_capi.cpp,//src:capi_cpp_example,235
src/main_windows.cpp,//src:ovms,243
src/mediapipe_calculators/ovmscalculator.pb.cc,//src:ovmscalculatoroptions_cc_proto,1
src/mediapipe_internal/mediapipe_utils.cpp,//src/mediapipe_internal:mediapipe_utils,4
src/mediapipe_internal/mediapipefactory.cpp,//src/mediapipe_internal:libovms_mediapipe,39
src/mediapipe_internal/mediapipegraphconfig.cpp,//src/mediapipe_internal:libovms_mediapipe,39
src/mediapipe_internal/mediapipegraphdefinition.cpp,//src/mediapipe_internal:libovms_mediapipe,39
src/mediapipe_internal/mediapipegraphexecutor.cpp,//src/mediapipe_internal:libovms_mediapipe,39
src/mediapipe_internal/node_initializer.cpp,//src/mediapipe_internal:node_initializer,3
src/metrics/metric.cpp,//src/metrics:libovmsmetrics,12
src/metrics/metric_config.cpp,//src/metrics:libovmsmetrics,12
src/metrics/metric_family.cpp,//src/metrics:libovmsmetrics,12
src/metrics/metric_module.cpp,//src/metrics:libovmsmetrics,12
src/metrics/metric_registry.cpp,//src/metrics:libovmsmetrics,12
src/model.cpp,//src:model,56
src/model_metric_reporter.cpp,//src:model_metric_reporter,13
src/model_service.cpp,//src:ovms_lib,234
src/model_version_policy.cpp,//src:libovmsmodelversioning,1
src/modelchangesubscription.cpp,//src:modelchangesubscription,2
src/modelconfig.cpp,//src:modelconfig,15
src/modelextensions.cpp,//src:modelextensions,1
src/modelinstance.cpp,//src:modelinstance,50
src/modelinstanceunloadguard.cpp,//src:modelinstanceunloadguard,31
src/modelmanager.cpp,//src:modelmanager,102
src/modelversionstatus.cpp,//src:libovmsmodelversionstatus,2
src/module_names.cpp,//src:cpp_headers,3
src/net_http_async_writer_impl.cpp,//src:libnet_http_server,3
src/network_utils.cpp,//src:network_utils,2
src/ocl_utils.cpp,//src:libovmsoclutils,2
src/opencltensorfactory.cpp,//src:libovmstensorfactory,5
src/outputkeeper.cpp,//src:libovms_outputkeeper,8
src/ov_utils.cpp,//src:libovms_ov_utils,12
src/ovinferrequestsqueue.cpp,//src:libovms_ovinferrequestsqueue,2
src/ovmscalculatoroptions_options_lib.cc,//src:ovmscalculatoroptions_options_registry,2
src/precision.cpp,//src:libovmsprecision,1
src/precision_configuration.cpp,//src:libovmsprecision_configuration,3
src/predict_request_validation_utils_impl.cpp,//src:predict_request_validation_utils_impl,9
src/prediction_service.cpp,//src:ovms_lib,234
src/profiler.cpp,//src:libovmsprofiler,8
src/profilermodule.cpp,//src:libovmsprofiler,8
